Abad
Abarca
Abarza
Abatta
Abril
Acevedo
Achig
Acosta
Acurio
Acuña
Agualongo
Aguas
Aguiar
Aguilar
Aguilera
Aguinaga
Aguirre
Agurto
Alarcon
Alava
Alban
Albuja
Alcazar
Alcivar
Alcocer
Alcoser
Aldas
Aldaz
Aldean
Alejandro
Aleman
Alencastro
Alexis
Alfonzo
Almache
Almachi
Almagro
Almeida
Alomoto
Alonso
Alpusig
Alquinga
Altamirano
Aluisa
Alulema
Alulima
Alvarado
Alvarez
Alvear
Alvia
Amagua
Amaguaña
Amaquiña
Amaya
Amores
Anaguano
Analuisa
Anangono
Anasi
Anchaguano
Anchatuña
Andagana
Andaluz
Andino
Andrade
Andramunio
Andrango
Angamarca
Angulo
Anibal
Antunez
Apolo
Apunte
Aranda
Araujo
Arauz
Arboleda
Arce
Arcentales
Arcos
Arellano
Arenillas
Arequipa
Arevalo
Argoti
Argotti
Arguello
Arias
Arizabal
Arizaga
Arizala
Arla
Armas
Armendariz
Armijos
Arnaldo
Arroba
Arroyo
Arteaga
Artos
Asanza
Asimbaya
Asqui
Astudillo
Ati
Atiaga
Atiaja
Atiencia
Aucapiña
Aucatoma
Aules
Aulestia
Auz
Avalos
Avellan
Avendaño
Avila
Aviles
Ayala
Aymacaña
Aymara
Ayo
Ayola
Azacata
Añamisi
Añasco
Baez
Bajana
Balarezo
Balda
Baldeon
Ballesteros
Balseca
Bamontes
Baque
Baquero
Barahona
Baraja
Barba
Baroja
Barragan
Barrantes
Barreno
Barrera
Barriga
Barrionuevo
Barros
Basantes
Bassante
Bastidas
Basurto
Batallas
Batson
Bautista
Bayas
Bazurto
Baño
Bedon
Bedoya
Bejarano
Bello
Beltran
Benalcazar
Benavides
Benavidez
Benedict
Benitez
Bermeo
Bernal
Bernis
Berrazueta
Berrones
Berru
Betancourt
Blacio
Blanco
Boada
Bohorquez
Bol
Bolagay
Bolaños
Bone
Bonifaz
Bonilla
Bonne
Borja
Borsic
Bourgeat
Bravo
Brazales
Briones
Brito
Bucheli
Buenaño
Buitron
Burbano
Bustamante
Bustillos
Bustos
Cabascango
Cabezas
Cabrera
Caceres
Cachumba
Cacuango
Cadena
Caguana
Cahuasqui
Caicedo
Caisaguano
Caisapanta
Caiza
Caizachana
Caizaguano
Caizalitin
Caizaluisa
Caizatoa
Cajamarca
Cajas
Cajilema
Calahorrano
Calan
Calapaqui
Calderon
Calero
Calispa
Calle
Calo
Calupiña
Calva
Calvache
Calvopiña
Camacho
Cambell
Camino
Campana
Campaña
Campo
Campoverde
Campuzano
Canchig
Canchigña
Canchingre
Candelejo
Cando
Cangui
Cano
Cantuña
Capelo
Capuz
Caraguay
Cardenas
Cardona
Cargua
Carpio
Carranza
Carrasco
Carrera
Carriel
Carrillo
Carrion
Carvajal
Casame
Casco
Castañeda
Castellanos
Castillo
Castro
Catagña
Cayancela
Cayo
Cañizares
Cedamano
Cedeño
Cedillo
Cejas
Cela
Celi
Celleri
Centeno
Cepeda
Cerda
Ceron
Cevallos
Chacha
Chacon
Chadan
Chala
Chalan
Chaluisa
Chamba
Chamorro
Chanaguano
Chanatasi
Chanatasig
Chanataxi
Chanchay
Chancusig
Chandi
Chango
Changoluisa
Changoluiza
Changuan
Chapuesgal
Chariguaman
Charro
Chasiluisa
Chasipanta
Chasiquiza
Chavarria
Chaves
Chavez
Chazi
Checa
Cheza
Chica
Chicaiza
Chico
Chiguano
Chiliquinga
Chiluisa
Chiluiza
Chimbo
Chinchin
Chinga
Chipantagsi
Chipantasi
Chipugsi
Chiquito
Chiquiza
Chiriboga
Chiza
Cholota
Chorros
Chucuri
Chugchilan
Chuiza
Chulca
Chulde
Chum
Chuqui
Chuquilla
Chuquimarca
Cifuentes
Cisneros
Claudio
Clavijo
Coba
Cobeña
Cobo
Cobos
Coca
Cocinero
Codena
Coello
Collaguazo
Collantes
Coloma
Comina
Conde
Condolo
Conejo
Conlago
Constante
Conya
Copa
Coque
Coral
Cordova
Coro
Coronel
Corral
Corrales
Correa
Correoso
Cortazar
Cortez
Costales
Costta
Crespo
Criollo
Crisanto
Cruz
Cuadrado
Cuadros
Cudco
Cuenca
Cueva
Cuichan
Cujigualpa
Culqui
Cumbal
Cunalata
Curicho
Cusco
Cusin
Cuyo
Cuzco
Daisson
Dalgo
Damian
Darquea
Davalos
Davila
Daza
Debut
Defaz
Delgado
Delli
Desiderio
Dias
Diaz
Dominguez
Drouet
Duchicela
Dueñas
Dugarte
