Aarón
Abel
Abrahán
Adán
Adrián
Agustín
Alberto
Alejandro
Alex
Alfonso
Álvaro
Amadeo
Ambrosio
Anastasio
Andrés
Ángel
Antonio
Arcadio
Armando
Arturo
Atanasio
Baltasar
Bartolomé
Basilio
Bautista
Beltrán
Benito
Benjamín
Bernardo
Blas
Bonifacio
Camilo
Cándido
Carlos
Casimiro
Cayetano
Celestino
César
Cipriano
Cirilo
Ciro
Crisóstomo
Cristian
Dacio
Damián
Daniel
Dante
Dario
David
Demetrio
Dídac
Diego
Dionisio
Domingo
Donato
Doroteo
Eduardo
Eladio
Eleazar
Elías
Eligio
Emanuel
Emilio
Enrique
Epifanio
Erik
Ernesto
Esteban
Eulogio
Eusebio
Ezequiel
Fabricio
Facundo
Fausto
Felipe
Félix
Fermín
Fernando
Fidel
Filemón
Florentino
Francisco
Froilán
Fructuoso
Gabriel
Gael
Galo
Genaro
Gerardo
Gervasio
Gines
Gonzalo
Gregorio
Guillermo
Gumersindo
Gustavo
Héctor
Heliodoro
Heraclio
Herminio
Hernán
Higinio
Hilario
Honorio
Horacio
Hugo
Humberto
Ignacio
Iker
Ildefonso
Indalecio
Inocencio
Iñigo
Irineo
Isaac
Isauro
Isidro
Ismael
Israel
Iván
Jacobo
Jaime
Jairo
Javier
Jeremías
Jesús
Joel
Jonás
Jordán
Jorge
Josafat
José
Josué
Jovino
Juan
Julian
Julio
Justo
Kenan
Kepa
Kerman
Kevin
Kike
Kilian
Kleber
Kristian
Ladislao
Laureano
Lázaro
Leandro
Leocadio
Leonardo
Lino
Lisandro
Lope
Lorenzo
Luis
Macario
Manuel
Marcelino
Marcial
Marcos
Mariano
Marino
Mario
Martín
Mateo
Matías
Mauro
Maximiliano
Maximino
Melchor
Miguel
Moisés
Nahuel
Narciso
Natanael
Nazario
Nemesio
Nereo
Néstor
Nicanor
Nicodemo
Nicolás
Noé
Norberto
Octavio
Odon
Olegario
Omar
Orestes
Óscar
Oseas
Oswaldo
Otilio
Otoniel
Pablo
Pacífico
Pascual
Patricio
Pedro
Perfecto
Pío
Plácido
Poncio
Porfirio
Prudencio
Querubín
Quintín
Quirino
Rafael
Raimundo
Ramiro
Ramón
Raúl
René
Ricardo
Rigoberto
Roberto
Rodrigo
Rolando
Rómulo
Roque
Rosendo
Rubén
Rufino
Ruperto
Sabino
Salomón
Salvador
Samuel
Santiago
Santos
Saúl
Sebastián
Segismundo
Sergio
Silvestre
Simeón
Simón
Sixto
Tadeo
Tarsicio
Tasio
Teodoro
Teófilo
Tiburcio
Timoteo
Tito
Tomás
Ubaldo
Uberto
Ugo
Ulises
Unai
Urbano
Uriel
Ursicino
Valentín
Valero
Valfredo
Venceslao
Ventura
Vicente
Víctor
Víctor Manuel
Vidal
Viriato
Waldemar
Waldino
Wálter
Wenceslao
Wilfredo
Wílmar
Wílmer
Xaloc
Xavier
Xenofonte
Xenón
Ximo
Xurxo
Yago
Yeray
Yeremi
Yerko
Yonatan
Zacarías
Zaqueo
Zenón
Zósimo
