CODIGO,NOMBRE,CICLO,OBLIGATORIO,CREDITOS,H_TEORICAS,H_PRACTICAS,PREREQUISITO
IN2808702,INSTALACIONES EN EDIFICACIONES,8,TRUE,4,3,0,PRESUPUESTOS Y PROGRAMACIÓN DE OBRAS
IN2808601,INVESTIGACIÓN I,8,TRUE,4,3,2,METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA
IN2808704,PAVIMENTOS,8,TRUE,4,3,2,CAMINOS I
IN2809704,GESTIÓN DE LA CONSTRUCCIÓN BIM,9,TRUE,5,3,4,PRESUPUESTOS Y PROGRAMACIÓN DE OBRAS
IN2809703,IMPACTO AMBIENTAL EN OBRAS DE INGENIERÍA CIVIL,9,TRUE,4,3,2,CAMINOS II
IN2809705,INGENIERÍA DE AGUAS Y RESIDUOS SÓLIDOS,9,TRUE,4,3,2,INSTALACIONES EN EDIFICACIONES
IN2809702,INGENIERÍA SISMORRESISTENTE,9,TRUE,4,3,2,DISEÑO DE ESTRUCTURAS EN CONCRETO ARMADO II
IN2809601,INVESTIGACIÓN II,9,TRUE,3,2,2,INVESTIGACIÓN I
IN2809701,SANEAMIENTO Y ALCANTARILLADO,9,TRUE,3,2,2,INSTALACIONES EN EDIFICACIONES
IN2810705,ALBAÑILERÍA ESTRUCTURAL,10,FALSE,3,2,2,INGENIERÍA SISMORRESISTENTE
IN2810701,DISEÑO DE OBRAS HIDRÁULICAS,10,TRUE,3,2,2,DISEÑO DE ESTRUCTURAS EN CONCRETO ARMADO II
IN2810704,DISEÑO EN ACERO Y MADERA ESTRUCTURAL,10,FALSE,3,2,2,INGENIERÍA SISMORRESISTENTE
IN2810706,INGENIERÍA DE PUENTES,10,FALSE,3,2,2,INGENIERÍA SISMORRESISTENTE
IN2810702,INTEGRADOR II,10,TRUE,4,3,2,SANEAMIENTO Y ALCANTARILLADO - INGENIERÍA SISMORRESISTENTE - IMPACTO AMBIENTAL EN OBRAS DE INGENIERÍA CIVIL - INGENIERÍA DE AGUAS Y RESIDUOS SÓLIDOS
IN2810709,METODOLOGÍA VDC EN EDIFICACIONES,10,FALSE,3,2,2,GESTIÓN DE LA CONSTRUCCIÓN BIM
IN2810708,MODELAMIENTO DE INFORMACIÓN EN EDIFICACIONES,10,FALSE,3,2,2,GESTIÓN DE LA CONSTRUCCIÓN BIM
IN2810707,SEGURIDAD E HIGIENE EN LA CONSTRUCCIÓN,10,FALSE,3,2,2,GESTIÓN DE LA CONSTRUCCIÓN BIM
IN2810703,SISTEMA INTEGRADO DE GESTIÓN DE LA CONSTRUCCIÓN,10,TRUE,3,2,2,GESTIÓN DE LA CONSTRUCCIÓN BIM
IN2810601,TRABAJO DE INVESTIGACIÓN,10,TRUE,3,2,2,INVESTIGACIÓN II
